% Model,model_final_mb_another.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 27 2023, 02:46"
% Table,Table 8 - Global Evaluation 1
% lambda0 (nm),Extinction cross section (m^2)
600,2.056974617654446E-13
608.4745762711865,7.031796563389922E-14
616.9491525423729,8.809557895081624E-14
625.4237288135594,1.1340857675969304E-13
633.8983050847457,1.3952829848660518E-13
642.3728813559322,1.6670276867182231E-13
650.8474576271186,1.952927863203385E-13
659.3220338983051,2.254008378676072E-13
667.7966101694915,2.5635159095392887E-13
676.271186440678,2.8743220588219425E-13
684.7457627118645,3.170053379364659E-13
693.2203389830509,3.4247147134800244E-13
701.6949152542371,3.602628778968268E-13
710.1694915254236,3.6605953246010823E-13
718.6440677966102,3.566253943672685E-13
727.1186440677965,3.3110700000601486E-13
735.593220338983,2.920322815871958E-13
744.0677966101694,2.4508059018028136E-13
752.5423728813558,1.9718422766097593E-13
761.0169491525422,1.5435725356057432E-13
769.4915254237287,1.2040055966298271E-13
777.9661016949152,9.69295176776317E-14
786.4406779661016,8.409022934977787E-14
794.915254237288,8.122506351523342E-14
803.3898305084745,8.732437048783138E-14
811.864406779661,1.0120509892318972E-13
820.3389830508473,1.2148002848719236E-13
828.8135593220338,1.464111305159859E-13
837.2881355932202,1.7377569096658884E-13
845.7627118644067,2.0086181023164284E-13
854.2372881355931,2.2473859619421986E-13
862.7118644067796,2.4278224582521333E-13
871.1864406779661,2.532727591684619E-13
879.6610169491524,2.557621232065323E-13
888.1355932203388,2.5102052313137433E-13
896.6101694915253,2.4055104353949123E-13
905.0847457627118,2.262432112209704E-13
913.5593220338982,2.098867038081322E-13
922.0338983050847,1.9284107339469671E-13
930.5084745762712,1.760550069676582E-13
938.9830508474575,1.6011817410067891E-13
947.4576271186439,1.453483443207291E-13
955.9322033898305,1.3187651007063938E-13
964.4067796610169,1.1971563391599592E-13
972.8813559322033,1.0880871215439903E-13
981.3559322033897,9.906422656550811E-14
989.8305084745763,9.037501247069344E-14
998.3050847457627,8.263011641324476E-14
1006.779661016949,7.572399549085421E-14
1015.2542372881356,6.955913121599646E-14
1023.728813559322,6.404785681729845E-14
1032.2033898305085,5.911224758135943E-14
1040.677966101695,5.4683044772561336E-14
1049.1525423728813,5.0699419390818844E-14
1057.6271186440679,4.7108819542814613E-14
1066.1016949152543,4.386472718296687E-14
1074.5762711864406,4.092692782843354E-14
1083.0508474576272,3.8260368668460476E-14
1091.5254237288136,3.5833397976355444E-14
1100,3.361920188450213E-14
