% Model,model_final_mb.mph
% Version,COMSOL 6.1.0.282
% Date,"Jun 5 2023, 03:13"
% Table,SigmaExt-105 - Global Evaluation 1
% r0 (nm),lambda0 (nm),Extinction cross section (m^2)
104.99999999999999,600,2.963158748536947E-13
104.99999999999999,605,1.5243675034087346E-13
104.99999999999999,610,1.5146543306646038E-13
104.99999999999999,615,1.7927961112009373E-13
104.99999999999999,619.9999999999999,2.097736401990664E-13
104.99999999999999,625,2.4079742059478096E-13
104.99999999999999,629.9999999999999,2.7237150904624816E-13
104.99999999999999,635,3.046948564789789E-13
104.99999999999999,639.9999999999999,3.379096483519749E-13
104.99999999999999,645,3.720893013038949E-13
104.99999999999999,650,4.072521350704416E-13
104.99999999999999,655,4.4337033761959843E-13
104.99999999999999,660,4.803396763866992E-13
104.99999999999999,665,5.177153076471523E-13
104.99999999999999,670,5.554255654535463E-13
104.99999999999999,674.9999999999999,5.930846592214506E-13
104.99999999999999,680,6.301321011322484E-13
104.99999999999999,684.9999999999999,6.657827234033421E-13
104.99999999999999,690,6.989746645557802E-13
104.99999999999999,694.9999999999999,7.28328546003442E-13
104.99999999999999,700,7.521520370856979E-13
104.99999999999999,704.9999999999999,7.68457286106258E-13
104.99999999999999,710,7.748698518882819E-13
104.99999999999999,715,7.700327197111773E-13
104.99999999999999,720,7.527865031001724E-13
104.99999999999999,725,7.229142562576894E-13
104.99999999999999,729.9999999999999,6.813523871062932E-13
104.99999999999999,735,6.30208252448717E-13
104.99999999999999,739.9999999999999,5.724584382909362E-13
104.99999999999999,745,5.114899526507085E-13
104.99999999999999,749.9999999999999,4.506003838836717E-13
104.99999999999999,755,3.92596988375136E-13
104.99999999999999,759.9999999999999,3.396454979409086E-13
104.99999999999999,765,2.9307818118766147E-13
104.99999999999999,770,2.5362508780089694E-13
104.99999999999999,775,2.2156145083885254E-13
104.99999999999999,780,1.9685238127346905E-13
104.99999999999999,784.9999999999999,1.792873058340738E-13
104.99999999999999,790,1.6858330877372708E-13
104.99999999999999,794.9999999999999,1.6444438989753819E-13
104.99999999999999,800,1.6660169365816772E-13
104.99999999999999,804.9999999999999,1.7482798115421403E-13
104.99999999999999,810,1.8893660221031844E-13
104.99999999999999,814.9999999999999,2.0878545003292583E-13
104.99999999999999,820,2.3427772354753086E-13
104.99999999999999,825,2.6539987992175275E-13
104.99999999999999,830,3.0236105432628116E-13
104.99999999999999,835,3.458828666928629E-13
104.99999999999999,839.9999999999999,3.9785423493445933E-13
104.99999999999999,845,4.623636344170974E-13
104.99999999999999,849.9999999999999,5.446894628904654E-13
104.99999999999999,855,6.330803710526984E-13
104.99999999999999,859.9999999999999,6.643318551387708E-13
104.99999999999999,865,6.23631028815106E-13
104.99999999999999,869.9999999999999,5.798987706689054E-13
104.99999999999999,875,5.529078072602067E-13
104.99999999999999,879.9999999999999,5.349902429599645E-13
104.99999999999999,885,5.195882500666094E-13
104.99999999999999,890,5.036631369438513E-13
104.99999999999999,894.9999999999999,4.861058324574597E-13
104.99999999999999,900,4.668692714818553E-13
104.99999999999999,904.9999999999999,4.463391142138152E-13
104.99999999999999,910,4.2498585319302315E-13
104.99999999999999,914.9999999999999,4.032779234313624E-13
104.99999999999999,920,3.8163161578100794E-13
104.99999999999999,924.9999999999999,3.6037597044675733E-13
104.99999999999999,930,3.3976298158204164E-13
104.99999999999999,934.9999999999999,3.1996616588410106E-13
104.99999999999999,940,3.0109867826406807E-13
104.99999999999999,945,2.832235176236265E-13
104.99999999999999,949.9999999999999,2.6636803543494813E-13
104.99999999999999,954.9999999999999,2.505272437846633E-13
104.99999999999999,960,2.3568167203892127E-13
104.99999999999999,965,2.2179518796915274E-13
104.99999999999999,969.9999999999999,2.0882355685308146E-13
104.99999999999999,974.9999999999999,1.967182808775477E-13
104.99999999999999,980,1.8542708202505236E-13
104.99999999999999,985,1.748998857174873E-13
104.99999999999999,989.9999999999999,1.650845043059923E-13
104.99999999999999,994.9999999999999,1.5593092154151644E-13
104.99999999999999,1000,1.4739455803283973E-13
104.99999999999999,1005,1.394299549424447E-13
104.99999999999999,1010,1.319954920731032E-13
104.99999999999999,1014.9999999999999,1.2505251809537613E-13
104.99999999999999,1019.9999999999999,1.1856505137406063E-13
104.99999999999999,1025,1.1249995379100324E-13
104.99999999999999,1030,1.0682512240040356E-13
104.99999999999999,1035,1.0151403725956389E-13
104.99999999999999,1039.9999999999998,9.653885252678322E-14
104.99999999999999,1045,9.187445048742549E-14
104.99999999999999,1050,8.749981723653772E-14
104.99999999999999,1055,8.339245281603182E-14
104.99999999999999,1060,7.953497427207846E-14
104.99999999999999,1064.9999999999998,7.590932619333321E-14
104.99999999999999,1070,7.249762513093608E-14
104.99999999999999,1075,6.92871189877117E-14
104.99999999999999,1080,6.626364800888626E-14
104.99999999999999,1084.9999999999998,6.341223707486228E-14
104.99999999999999,1090,6.072247688396108E-14
104.99999999999999,1095,5.818212414951584E-14
104.99999999999999,1100,5.578236213307379E-14
