% Model,model_final_mb.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 27 2023, 00:40"
% Table,Table 3 - Global Evaluation 1
% lambda0 (nm),Extinction cross section (m^2)
400,1.5358149045415317E-13
411.864406779661,9.970166601063999E-14
423.72881355932196,7.625902998347531E-14
435.593220338983,7.587368306890926E-14
447.457627118644,1.0323860557269117E-13
459.3220338983051,1.8256709277160913E-13
471.1864406779661,1.2281971486707566E-13
483.0508474576271,9.003536588055494E-14
494.91525423728814,6.833557290091603E-14
506.77966101694915,5.3580405945947794E-14
518.6440677966101,4.043806227417188E-14
530.5084745762712,3.710898109353426E-14
542.3728813559321,5.953626815311845E-14
554.2372881355932,1.0882637989943298E-13
566.1016949152543,2.393719627274869E-13
577.9661016949152,1.350338889068951E-13
589.8305084745763,1.7226225010633446E-13
601.6949152542371,2.410318400901442E-13
613.5593220338983,3.115794915375987E-13
625.4237288135594,3.8410560400762585E-13
637.2881355932203,4.58449111544554E-13
649.1525423728814,5.329352604531606E-13
661.0169491525422,6.009326302362423E-13
672.8813559322034,6.450800436333582E-13
684.7457627118645,6.450529218850182E-13
696.6101694915254,5.854127812385284E-13
708.4745762711864,4.764051718219745E-13
720.3389830508473,3.527155692439986E-13
732.2033898305085,2.47736351002897E-13
744.0677966101696,1.7824385797538363E-13
755.9322033898305,1.4789721725680512E-13
767.7966101694915,1.5468023569247388E-13
779.6610169491524,1.9426795952731008E-13
791.5254237288136,2.5910538882138145E-13
803.3898305084745,3.3560074422180085E-13
815.2542372881355,4.044610436490314E-13
827.1186440677966,4.476365146093226E-13
838.9830508474575,4.574745551570017E-13
850.8474576271187,4.38720282408266E-13
862.7118644067796,4.023623283551665E-13
874.5762711864406,3.5878801327276203E-13
886.4406779661017,3.148975336383822E-13
898.3050847457627,2.741956131990487E-13
910.1694915254237,2.381539067155243E-13
922.0338983050847,2.0704735102578155E-13
933.8983050847457,1.8051936241293352E-13
945.7627118644067,1.580129799160782E-13
957.6271186440677,1.3894532936719105E-13
969.4915254237288,1.227741499584885E-13
981.3559322033899,1.0902628643161491E-13
993.2203389830509,9.729613458739347E-14
1005.0847457627119,8.72493046368117E-14
1016.9491525423728,7.860871487531751E-14
1028.8135593220338,7.114246764724253E-14
1040.677966101695,6.466080303740296E-14
1052.542372881356,5.900539505125267E-14
1064.406779661017,5.404662488138666E-14
1076.2711864406776,4.96769688005532E-14
1088.135593220339,4.580685095164329E-14
1100,4.235820702852289E-14
